save_name,label,cls_name,bboxes
crazing_0.jpg,0,crazing,
crazing_1.jpg,0,crazing,
crazing_2.jpg,0,crazing,
crazing_3.jpg,0,crazing,
crazing_4.jpg,0,crazing,
crazing_5.jpg,0,crazing,
crazing_6.jpg,0,crazing,
crazing_7.jpg,0,crazing,
crazing_8.jpg,0,crazing,
crazing_9.jpg,0,crazing,
crazing_10.jpg,0,crazing,
crazing_11.jpg,0,crazing,
crazing_12.jpg,0,crazing,
crazing_13.jpg,0,crazing,
crazing_14.jpg,0,crazing,
crazing_15.jpg,0,crazing,
crazing_16.jpg,0,crazing,
crazing_17.jpg,0,crazing,
crazing_18.jpg,0,crazing,
crazing_19.jpg,0,crazing,
crazing_20.jpg,0,crazing,
crazing_21.jpg,0,crazing,
crazing_22.jpg,0,crazing,
crazing_23.jpg,0,crazing,
crazing_24.jpg,0,crazing,
crazing_25.jpg,0,crazing,
crazing_26.jpg,0,crazing,
crazing_27.jpg,0,crazing,
crazing_28.jpg,0,crazing,
crazing_29.jpg,0,crazing,
crazing_30.jpg,0,crazing,
crazing_31.jpg,0,crazing,
crazing_32.jpg,0,crazing,
crazing_33.jpg,0,crazing,
crazing_34.jpg,0,crazing,
crazing_35.jpg,0,crazing,
crazing_36.jpg,0,crazing,
crazing_37.jpg,0,crazing,
crazing_38.jpg,0,crazing,
crazing_39.jpg,0,crazing,
crazing_40.jpg,0,crazing,
crazing_41.jpg,0,crazing,
crazing_42.jpg,0,crazing,
crazing_43.jpg,0,crazing,
crazing_44.jpg,0,crazing,
crazing_45.jpg,0,crazing,
crazing_46.jpg,0,crazing,
crazing_47.jpg,0,crazing,
crazing_48.jpg,0,crazing,
crazing_49.jpg,0,crazing,
crazing_50.jpg,0,crazing,
crazing_51.jpg,0,crazing,
crazing_52.jpg,0,crazing,
crazing_53.jpg,0,crazing,
crazing_54.jpg,0,crazing,
crazing_55.jpg,0,crazing,
crazing_56.jpg,0,crazing,
crazing_57.jpg,0,crazing,
crazing_58.jpg,0,crazing,
crazing_59.jpg,0,crazing,
crazing_60.jpg,0,crazing,
crazing_61.jpg,0,crazing,
crazing_62.jpg,0,crazing,
crazing_63.jpg,0,crazing,
crazing_64.jpg,0,crazing,
crazing_65.jpg,0,crazing,
crazing_66.jpg,0,crazing,
crazing_67.jpg,0,crazing,
crazing_68.jpg,0,crazing,
crazing_69.jpg,0,crazing,
crazing_70.jpg,0,crazing,
crazing_71.jpg,0,crazing,
crazing_72.jpg,0,crazing,
crazing_73.jpg,0,crazing,
crazing_74.jpg,0,crazing,
crazing_75.jpg,0,crazing,
crazing_76.jpg,0,crazing,
crazing_77.jpg,0,crazing,
crazing_78.jpg,0,crazing,
crazing_79.jpg,0,crazing,
crazing_80.jpg,0,crazing,
crazing_81.jpg,0,crazing,
